品名コード,品名漢字,カテゴリ_ブランド_,シリーズ,付加価値品フラグ,会社_文字型_,Primary_key,ソート
56933,ＱＰのたまご　つぶしてつくるポテトサラダ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_56933,510
40135,ＱＰのたまご　麻辣ダレ担々風たまご　Ｆ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_40135,510
47166,ＱＰのたまご　ゆでたまご燻製風味,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_47166,510
37514,豚肉ときくらげの卵炒めキット,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_37514,510
37515,豚にら玉キット,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_37515,510
38479,ＱＰのたまご　たまごとポテトのサラダ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_38479,510
4986,調理用たまご,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_4986,510
37517,牛肉と卵のオイスターソース炒めキット,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_37517,510
3812,とろっとたまごのオムライスの具ドミソース,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_3812,510
38867,ＱＰのたまご　麻辣ダレ担々風たまご　Ｌ,キユーピーのタマゴ,キユーピーのタマゴ,対象,11,11_38867,510
1604,ＧＱＰ　植物生まれのマヨネーズタイプ,GREEN KEWPIE,調味料,対象,11,11_1604,610
2452,ＧＱＰ　植物生まれのマヨタイプ（試供品）,GREEN KEWPIE,調味料,対象,11,11_2452,610
94670,Ｊ１１０１３０　家庭用パスタソース,GREEN KEWPIE,調味料,対象,11,11_94670,610
435017,Ｃ１１００１８　家庭用ＧＫマヨタイプ,GREEN KEWPIE,調味料,対象,11,11_435017,610
435034,Ｋ１１１０２５　家庭用ＧＫマヨタイプ,GREEN KEWPIE,調味料,対象,11,11_435034,610
41231,ＧＱＰ　植物生まれのごまドレ,GREEN KEWPIE,調味料,対象,11,11_41231,610
41232,ＧＱＰ　植物生まれのシーザーサラダドレ,GREEN KEWPIE,調味料,対象,11,11_41232,610
27120,ＧＱＰ　植物生まれのごまドレッシング,GREEN KEWPIE,調味料,対象,11,11_27120,610
27121,ＧＱＰ植物生まれのシーザーサラダドレ,GREEN KEWPIE,調味料,対象,11,11_27121,610
47933,ＧＱＰ　植物生まれのごまドレ（試供品）,GREEN KEWPIE,調味料,対象,11,11_47933,610
47934,ＧＱＰ　植物生まれシーザードレ（試供品）,GREEN KEWPIE,調味料,対象,11,11_47934,610
94671,Ｊ１１０１３５　輸出家庭用パスタソース,GREEN KEWPIE,調味料,対象,11,11_94671,610
435018,Ｃ１１００１９　家庭用ＧＫドレッシング,GREEN KEWPIE,調味料,対象,11,11_435018,610
435035,Ｋ１１１１２５　家庭用ＧＫドレッシング,GREEN KEWPIE,調味料,対象,11,11_435035,610
1096,ＧＱＰ　植物生まれのボロネーゼ,GREEN KEWPIE,調理食品,対象,11,11_1096,620
4149,ＧＱＰ　植物生まれのパスタＳ　たらこ風,GREEN KEWPIE,調理食品,対象,11,11_4149,620
1097,ＧＱＰ　植物生まれのカルボナーラ,GREEN KEWPIE,調理食品,対象,11,11_1097,620
94690,Ｊ１１０２９０　業務用病態配慮,GREEN KEWPIE,調理食品,対象,11,11_94690,620
435021,Ｃ１１００３８　家庭用ＧＫパスタソース,GREEN KEWPIE,調理食品,対象,11,11_435021,620
435036,Ｋ１１２０２５　家庭用ＧＫパスタソース,GREEN KEWPIE,調理食品,対象,11,11_435036,620
28982,ＨＯＢＯＴＡＭＡ　加熱用液卵風,GREEN KEWPIE,調理食品,対象,11,11_28982,620
28983,ＨＯＢＯＴＡＭＡ　スクランブルエッグ風,GREEN KEWPIE,調理食品,対象,11,11_28983,620
69278,ＧＱＰ　ＨＯＢＯＴＡＭＡ　加熱用液卵風,GREEN KEWPIE,調理食品,対象,11,11_69278,620
69279,ＧＱＰ　ＨＯＢＯＴＡＭＡスクランブル風,GREEN KEWPIE,調理食品,対象,11,11_69279,620
435025,Ｃ１１０１５４　家庭用ＧＫ　ＨＯＢＯＴＡ,GREEN KEWPIE,調理食品,対象,11,11_435025,620
435037,Ｋ１１５１２５　家庭用ＧＫ　ＨＯＢＯＴＡ,GREEN KEWPIE,調理食品,対象,11,11_435037,620
25833,ＱＰ　Ｙ４－１１　すりおろし果実　りんご,ケアフード,やさしい献立,対象外,11,11_25833,710
25834,ＱＰ　Ｙ４－１２すりおろし　ももとりんご,ケアフード,やさしい献立,対象外,11,11_25834,710
20144,ＱＰ　Ｙ２－１６　貝柱の彩りかきたま,ケアフード,やさしい献立,対象外,11,11_20144,710
20149,ＱＰ　Ｙ２－１９　海老と貝柱のクリーム煮,ケアフード,やさしい献立,対象外,11,11_20149,710
30226,ＱＰ　Ｙ３－３９やわらかたら彩りあんかけ,ケアフード,やさしい献立,対象外,11,11_30226,710
30251,ＱＰ　Ｙ４－２１なめらかおかず牛肉じゃが,ケアフード,やさしい献立,対象外,11,11_30251,710
29929,ＱＰ　Ｙ４－１４　なめらかごはん,ケアフード,やさしい献立,対象外,11,11_29929,710
29932,ＱＰ　Ｙ３－８　やわらかごはん,ケアフード,やさしい献立,対象外,11,11_29932,710
36838,ＱＰ　Ｙ２－８　けんちんうどん,ケアフード,やさしい献立,対象外,11,11_36838,710
36834,ＱＰ　Ｙ１－８　煮込みハンバーグ,ケアフード,やさしい献立,対象外,11,11_36834,710
36837,ＱＰ　Ｙ２－３　おじや親子丼風,ケアフード,やさしい献立,対象外,11,11_36837,710
36402,ＱＰ　Ｙ１－１４　鶏と野菜のシチュー,ケアフード,やさしい献立,対象外,11,11_36402,710
30227,ＱＰ　Ｙ３－４０　やわらか海老グラタン,ケアフード,やさしい献立,対象外,11,11_30227,710
40988,ＱＰ　Ｙ４－２８なめらか煮込みハンバーグ,ケアフード,やさしい献立,対象外,11,11_40988,710
40990,ＱＰ　Ｙ４－３０　なめらか揚げだし茄子,ケアフード,やさしい献立,対象外,11,11_40990,710
40986,ＱＰ　Ｙ４－２６　なめらかぶり大根,ケアフード,やさしい献立,対象外,11,11_40986,710
40991,ＱＰ　Ｙ４－３１なめらかさつま栗きんとん,ケアフード,やさしい献立,対象外,11,11_40991,710
40987,ＱＰ　Ｙ４－２７　なめらか牛すき焼き,ケアフード,やさしい献立,対象外,11,11_40987,710
40992,ＱＰ　Ｙ４－３２　なめらかほうれん草ポタ,ケアフード,やさしい献立,対象外,11,11_40992,710
40989,ＱＰ　Ｙ４－２９なめらか海の幸のグラタン,ケアフード,やさしい献立,対象外,11,11_40989,710
36983,ＱＰ　Ｙ３－４４　やわらかチャーハン,ケアフード,やさしい献立,対象外,11,11_36983,710
36985,ＱＰ　Ｙ３－４６　やわらかカレーライス,ケアフード,やさしい献立,対象外,11,11_36985,710
36984,ＱＰ　Ｙ３－４５　やわらかオムライス風,ケアフード,やさしい献立,対象外,11,11_36984,710
36879,ＱＰ　Ｙ３－４２　やわらかナポリタン,ケアフード,やさしい献立,対象外,11,11_36879,710
36982,ＱＰ　Ｙ３－４３　やわらか鶏釜めし,ケアフード,やさしい献立,対象外,11,11_36982,710
36878,ＱＰ　Ｙ３－４１　やわらか親子丼風,ケアフード,やさしい献立,対象外,11,11_36878,710
22158,ＱＰ　Ｙ３－３３　やわらかおかず　豚汁,ケアフード,やさしい献立,対象外,11,11_22158,710
38596,ＱＰ　Ｙ４－２４　なめらかかにごはん,ケアフード,やさしい献立,対象外,11,11_38596,710
38592,ＱＰ　Ｙ３－５２　かに雑炊,ケアフード,やさしい献立,対象外,11,11_38592,710
38587,ＱＰ　Ｙ３－５１　鯛雑炊,ケアフード,やさしい献立,対象外,11,11_38587,710
38593,ＱＰ　Ｙ３－５３　鮭雑炊,ケアフード,やさしい献立,対象外,11,11_38593,710
38594,ＱＰ　Ｙ４－２３　なめらか鯛ごはん,ケアフード,やさしい献立,対象外,11,11_38594,710
38599,ＱＰ　Ｙ４－２５　なめらか鰻ごはん,ケアフード,やさしい献立,対象外,11,11_38599,710
54477,ＱＰ　Ｙ５－１９　とろみファイン６００ｇ,ケアフード,やさしい献立,対象外,11,11_54477,710
64484,ＱＰ　Ｙ２－１１　鮭と野菜のかきたま,ケアフード,やさしい献立,対象外,11,11_64484,710
64485,ＱＰ　Ｙ２－２０　肉じゃが,ケアフード,やさしい献立,対象外,11,11_64485,710
54473,ＱＰ　Ｙ５－１８　とろみファイン３００ｇ,ケアフード,やさしい献立,対象外,11,11_54473,710
54471,ＱＰ　Ｙ５－１７　とろみファイン１．５ｇ,ケアフード,やさしい献立,対象外,11,11_54471,710
63122,ＱＰ　Ｙ３－３　やわらか大根鶏そぼろあん,ケアフード,やさしい献立,対象外,11,11_63122,710
64481,ＱＰ　Ｙ２－７　おじや　鶏ごぼう,ケアフード,やさしい献立,対象外,11,11_64481,710
22353,ＱＰ　Ｙ１－１９　肉じゃが,ケアフード,やさしい献立,対象外,11,11_22353,710
22349,ＱＰ　Ｙ１－４　鶏だんごの野菜煮込み,ケアフード,やさしい献立,対象外,11,11_22349,710
63124,ＱＰ　Ｙ３－１０　やわらかおじや鶏たまご,ケアフード,やさしい献立,対象外,11,11_63124,710
63111,ＱＰ　Ｙ３－２　やわらかおかず肉じゃが,ケアフード,やさしい献立,対象外,11,11_63111,710
63109,ＱＰ　Ｙ３－１　やわらかかぼちゃ含め煮,ケアフード,やさしい献立,対象外,11,11_63109,710
56278,ＱＰ　Ｙ４－１０なめらかおかずうぐいす豆,ケアフード,やさしい献立,対象外,11,11_56278,710
27431,ＱＰ　Ｙ３－５０　たまごと鶏の雑炊,ケアフード,やさしい献立,対象外,11,11_27431,710
27430,ＱＰ　Ｙ３－４９　たまごと牛肉の雑炊,ケアフード,やさしい献立,対象外,11,11_27430,710
63127,ＱＰ　Ｙ３－３２　やわらかおかずかつ煮味,ケアフード,やさしい献立,対象外,11,11_63127,710
54672,ＱＰ　Ｙ３－４８　鶏ときのこの雑炊,ケアフード,やさしい献立,対象外,11,11_54672,710
54671,ＱＰ　Ｙ３－４７　たまごと野菜の雑炊,ケアフード,やさしい献立,対象外,11,11_54671,710
20251,ＱＰ　Ｙ３－１４やわらかさつまいもと豆,ケアフード,やさしい献立,対象外,11,11_20251,710
20292,ＱＰ　Ｙ４－９　なめらかおかず大豆煮もの,ケアフード,やさしい献立,対象外,11,11_20292,710
20271,ＱＰ　Ｙ４－２　なめらか野菜グリンピース,ケアフード,やさしい献立,対象外,11,11_20271,710
20243,ＱＰ　Ｙ３－１３　やわらかおかずうなたま,ケアフード,やさしい献立,対象外,11,11_20243,710
18992,ＱＰ　Ｙ１－１０　貝柱マカロニグラタン,ケアフード,やさしい献立,対象外,11,11_18992,710
20268,ＱＰ　Ｙ４－１　なめらか野菜にんじん,ケアフード,やさしい献立,対象外,11,11_20268,710
18986,ＱＰ　Ｙ１－６　海老だんごかきたま,ケアフード,やさしい献立,対象外,11,11_18986,710
20284,ＱＰ　Ｙ４－４　なめらか野菜かぼちゃ,ケアフード,やさしい献立,対象外,11,11_20284,710
20143,ＱＰ　Ｙ２－１５　すき焼き,ケアフード,やさしい献立,対象外,11,11_20143,710
20121,ＱＰ　Ｙ２－５　おじや　牛すき焼き,ケアフード,やさしい献立,対象外,11,11_20121,710
47218,ＱＰ　Ｙ４－６　なめらかおかず鶏肉野菜,ケアフード,やさしい献立,対象外,11,11_47218,710
47220,ＱＰ　Ｙ４－１６　なめらかおかず　鮭野菜,ケアフード,やさしい献立,対象外,11,11_47220,710
20275,ＱＰ　Ｙ４－３　なめらか野菜コーン,ケアフード,やさしい献立,対象外,11,11_20275,710
47219,ＱＰ　Ｙ４－１５　なめらかおかず豚肉野菜,ケアフード,やさしい献立,対象外,11,11_47219,710
47221,ＱＰ　Ｙ４－１７なめらかおかず白身魚野菜,ケアフード,やさしい献立,対象外,11,11_47221,710
20119,ＱＰ　Ｙ２－４　おじや　鮭大根,ケアフード,やさしい献立,対象外,11,11_20119,710
49636,２２秋　とろみファインサンプルセット,ケアフード,やさしい献立,対象外,11,11_49636,710
94735,Ｊ１１９６００　賃貸設備売上,ケアフード,やさしい献立,対象外,11,11_94735,710
430539,Ｋ１１４０００　やさしい献立,ケアフード,やさしい献立,対象外,11,11_430539,710
93117,Ｃ１１００８３　代表やさしい献立,ケアフード,やさしい献立,対象外,11,11_93117,710
436173,２５春やさ献　コンセプト・スイングＰＯＰ,ケアフード,やさしい献立,対象外,11,11_436173,710
44666,ＱＰ　フィッテ,機能性食品,強調表示調味料,対象外,11,11_44666,810
42881,ＱＰ　アマニ油マヨネーズ,機能性食品,強調表示調味料,対象外,11,11_42881,810
42888,ＱＰ　ディフェ,機能性食品,強調表示調味料,対象外,11,11_42888,810
42880,ＱＰ　アマニ油マヨネーズ,機能性食品,強調表示調味料,対象外,11,11_42880,810
1013,利用禁止コード　会社０、１１更新,機能性食品,強調表示調味料,対象外,11,11_1013,810
430471,Ｋ１１１０３０　家庭用機能性マヨネーズ,機能性食品,強調表示調味料,対象外,11,11_430471,810
93508,Ｃ１１００９８　代表家庭用機能性マヨ,機能性食品,強調表示調味料,対象外,11,11_93508,810
93372,（代表）家庭用特保マヨ（廃止）,機能性食品,強調表示調味料,対象外,11,11_93372,810
23818,ＱＰ　アマニ油ドレッシング　イタリアン,機能性食品,強調表示調味料,対象外,11,11_23818,810
23817,ＱＰ　アマニ油ドレ　和風たまねぎ,機能性食品,強調表示調味料,対象外,11,11_23817,810
67019,ＱＰ　アマニ油ドレッシング　ごま豆乳入り,機能性食品,強調表示調味料,対象外,11,11_67019,810
22897,ＱＰ　フィッテドレ　和風醤油　黒酢入り,機能性食品,強調表示調味料,対象外,11,11_22897,810
22896,ＱＰ　フィッテドレッシング　ごま,機能性食品,強調表示調味料,対象外,11,11_22896,810
34336,ＱＰ　ごまドレッシング,機能性食品,強調表示調味料,対象外,11,11_34336,810
